Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
BRUNEL INTERNAT;NL0010776944;BRNL;Euronext Amsterdam;EUR;11,7;11,84;11,56;11,56;31/05/2023 17:39;CET;111906;1301962,52;11,56;31/05/2023
BUREAU VERITAS;FR0006174348;BVI;Euronext Paris;EUR;24,19;24,19;23,62;23,73;31/05/2023 17:35;CET;4981798;118308629;23,73;31/05/2023
BURELLE;FR0000061137;BUR;Euronext Paris;EUR;471;475;460;460;31/05/2023 17:35;CET;48;22453;460;31/05/2023
CA TOULOUSE 31 CCI;FR0000045544;CAT31;Euronext Paris;EUR;72,5;73,5;72,44;73,5;31/05/2023 16:34;CET;354;25770,27;73,5;31/05/2023
CABKA;NL00150000S7;CABKA;Euronext Amsterdam;EUR;6,88;6,88;6,7;6,8;31/05/2023 17:35;CET;1129;7704,4;6,8;31/05/2023
CABKA DSC2 TS;NL00150002R5;DSC2S;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-;-;-
CABKA EUR 12W;NL00150000U3;DSCW2;Euronext Amsterdam;EUR;0,058;0,058;0,058;0,058;22/05/2023 10:24;CET;16;0,93;0,058;31/05/2023
CABKA EUR 13W;NL00150000V1;DSCW3;Euronext Amsterdam;EUR;0,058;0,058;0,058;0,058;22/05/2023 10:24;CET;16;0,93;0,058;31/05/2023
CAFOM;FR0010151589;CAFO;Euronext Paris;EUR;8,96;9,06;8,94;9,06;31/05/2023 17:12;CET;284;2555,78;9,06;31/05/2023
CAMBODGE NOM.;FR0000079659;CBDG;Euronext Paris;EUR;6750;6750;6750;6750;29/05/2023 13:50;CET;2;13500;6750;31/05/2023
CAMPINE;BE0003825420;CAMB;Euronext Brussels;EUR;56,5;56,5;56,5;56,5;31/05/2023 16:30;CET;50;2825;56,5;31/05/2023
CAPGEMINI;FR0000125338;CAP;Euronext Paris;EUR;153;164,95;152,4;162,8;31/05/2023 17:38;CET;1336543;216486356,5;162,8;31/05/2023
CARE PROPERTY INV.;BE0974273055;CPINV;Euronext Brussels;EUR;12,5;12,72;12,5;12,6;31/05/2023 17:35;CET;22503;282928,14;12,6;31/05/2023
CARMILA;FR0010828137;CARM;Euronext Paris;EUR;13,9;14,2;13,9;13,94;31/05/2023 17:35;CET;244997;3419906,46;13,94;31/05/2023
CARPINIENNE PART.;FR0000064156;CARP;Euronext Paris;EUR;6,3;6,3;6,3;6,3;31/05/2023 11:30;CET;11;69,3;6,3;31/05/2023
CARREFOUR;FR0000120172;CA;Euronext Paris;EUR;17,37;17,465;17,1;17,185;31/05/2023 17:35;CET;6283982;108062621,9;17,185;31/05/2023
CASINO GUICHARD;FR0000125585;CO;Euronext Paris;EUR;5,7;5,71;5,515;5,57;31/05/2023 17:35;CET;601394;3361453,38;5,57;31/05/2023
CATANA GROUP;FR0010193052;CATG;Euronext Paris;EUR;7,46;7,54;7,43;7,43;31/05/2023 17:35;CET;41777;312287,62;7,43;31/05/2023
CATERPILLAR INC;US1491231015;CATR;Euronext Paris;EUR;196,5;196,5;196,5;196,5;31/05/2023 16:44;CET;75;14737,5;196,5;31/05/2023
CBO TERRITORIA;FR0010193979;CBOT;Euronext Paris;EUR;3,82;3,83;3,81;3,81;31/05/2023 17:35;CET;17977;68596,24;3,81;31/05/2023
CEGEDIM;FR0000053506;CGM;Euronext Paris;EUR;19,34;19,9;19,2;19,82;31/05/2023 17:29;CET;2946;57541,8;19,82;31/05/2023
CELYAD ONCOLOGY;BE0974260896;CYAD;Euronext Brussels, Paris;EUR;0,556;0,558;0,526;0,526;31/05/2023 17:27;CET;12452;6677,34;0,526;31/05/2023
CENERGY;BE0974303357;CENER;Euronext Brussels;EUR;5,68;5,8;5,65;5,8;31/05/2023 17:35;CET;8820;50464,22;5,8;31/05/2023
CFE;BE0003883031;CFEB;Euronext Brussels;EUR;10;10,14;9,87;10,06;31/05/2023 17:35;CET;11290;113005,2;10,06;31/05/2023
CFI;FR0000037475;CFI;Euronext Paris;EUR;0,6;0,6;0,6;0,6;04/04/2023 11:30;CET;3550;2130;0,6;31/05/2023
CGG;FR0013181864;CGG;Euronext Paris;EUR;0,6496;0,6572;0,6418;0,6524;31/05/2023 17:38;CET;6230759;4052779,91;0,6524;31/05/2023
CHARGEURS;FR0000130692;CRI;Euronext Paris;EUR;12,42;12,54;12,34;12,36;31/05/2023 17:35;CET;49259;610545,04;12,36;31/05/2023
CHAUSSERIA;FR0000060907;CHSR;Euronext Paris;EUR;5;5;5;5;05/05/2023 16:30;CET;27;135;5;31/05/2023
CHRISTIAN DIOR;FR0000130403;CDI;Euronext Paris;EUR;784;787;768,5;773,5;31/05/2023 17:36;CET;4505;3496318;773,5;31/05/2023
CIE BOIS SAUVAGE;BE0003592038;COMB;Euronext Brussels;EUR;307;307;300;300;31/05/2023 17:35;CET;781;235912;300;31/05/2023
CLARANOVA;FR0013426004;CLA;Euronext Paris;EUR;1,89;1,892;1,86;1,86;31/05/2023 17:35;CET;17082;32054,86;1,86;31/05/2023
CM.COM;NL0012747059;CMCOM;Euronext Amsterdam;EUR;7,85;7,88;7,71;7,71;31/05/2023 17:35;CET;403603;3114475,9;7,71;31/05/2023
CNOVA;NL0010949392;CNV;Euronext Paris;EUR;3,83;3,83;3,4;3,77;31/05/2023 17:29;CET;3585;12898,84;3,77;31/05/2023
Coca-ColaEuropacif;GB00BDCPN049;CCEP;Euronext Amsterdam;EUR;58,2;58,3;57;57,8;31/05/2023 17:35;CET;80936;4669832,7;57,8;31/05/2023
COFACE;FR0010667147;COFA;Euronext Paris;EUR;13,31;13,41;12,82;12,95;31/05/2023 17:35;CET;697773;9080732,17;12,95;31/05/2023
COFINIMMO;BE0003593044;COFB;Euronext Brussels;EUR;73,5;73,5;72,1;72,6;31/05/2023 17:35;CET;172247;12513832,75;72,6;31/05/2023
COHERIS;FR0004031763;COH;Euronext Paris;EUR;4,24;4,24;4,12;4,24;31/05/2023 13:49;CET;1647;6852,72;4,24;31/05/2023
COLAS;FR0000121634;RE;Euronext Paris;EUR;118;118;117,5;118;31/05/2023 17:21;CET;214;25251,5;118;31/05/2023
COLRUYT;BE0974256852;COLR;Euronext Brussels;EUR;31;31,41;30,71;31;31/05/2023 17:35;CET;383179;11884607,12;31;31/05/2023
COMPAGNIE ODET;FR0000062234;ODET;Euronext Paris;EUR;1520;1520;1500;1508;31/05/2023 17:35;CET;55;83012;1508;31/05/2023
CORBION;NL0010583399;CRBN;Euronext Amsterdam;EUR;25,86;25,92;25,66;25,68;31/05/2023 17:35;CET;111986;3041743,66;25,68;31/05/2023
COURTOIS;FR0000065393;COUR;Euronext Paris;EUR;127;127;127;127;31/05/2023 16:30;CET;10;1270;127;31/05/2023
COVIVIO;FR0000064578;COV;Euronext Paris;EUR;45,2;46,02;44,94;45,74;31/05/2023 17:35;CET;1151206;52646030,88;45,74;31/05/2023
COVIVIO HOTELS;FR0000060303;COVH;Euronext Paris;EUR;17,2;17,4;17,05;17,4;31/05/2023 17:35;CET;3165;54992,95;17,4;31/05/2023
CRCAM ALP.PROV.CCI;FR0000044323;CRAP;Euronext Paris;EUR;75,21;78;75,21;78;31/05/2023 17:35;CET;376;29069,14;78;31/05/2023
CRCAM ATL.VEND.CCI;FR0000185506;CRAV;Euronext Paris;EUR;90;91,08;89,4;91,08;31/05/2023 17:19;CET;656;59133,04;91,08;31/05/2023
CRCAM BRIE PIC2CCI;FR0010483768;CRBP2;Euronext Paris;EUR;18,802;19,2;18,8;19,2;31/05/2023 17:39;CET;4488;85537,18;19,2;31/05/2023
CRCAM ILLE-VIL.CCI;FR0000045213;CIV;Euronext Paris;EUR;59,11;61;59,1;61;31/05/2023 17:35;CET;355;21099,83;61;31/05/2023
CRCAM LANGUED CCI;FR0010461053;CRLA;Euronext Paris;EUR;53,49;55;53,01;55;31/05/2023 17:35;CET;1324;71693,04;55;31/05/2023
CRCAM LOIRE HTE L.;FR0000045239;CRLO;Euronext Paris;EUR;58,28;59;57;59;31/05/2023 17:35;CET;660;38411,88;59;31/05/2023
CRCAM MORBIHAN CCI;FR0000045551;CMO;Euronext Paris;EUR;67,52;70;67,51;70;31/05/2023 17:35;CET;405;27724,77;70;31/05/2023
CRCAM NORD CCI;FR0000185514;CNDF;Euronext Paris;EUR;13,132;13,37;13,132;13,37;31/05/2023 17:37;CET;5860;77882,97;13,37;31/05/2023
CRCAM NORM.SEINE;FR0000044364;CCN;Euronext Paris;EUR;80,22;82,5;80,2;82,5;31/05/2023 17:35;CET;763;62059,98;82,5;31/05/2023
CRCAM PARIS ET IDF;FR0000045528;CAF;Euronext Paris;EUR;67,09;67,88;66,9;67,88;31/05/2023 17:35;CET;2076;139078,71;67,88;31/05/2023
CRCAM SUD R.A.CCI;FR0000045346;CRSU;Euronext Paris;EUR;132,02;134;132,02;134;31/05/2023 17:35;CET;355;47179,1;134;31/05/2023
CRCAM TOURAINE CCI;FR0000045304;CRTO;Euronext Paris;EUR;79,61;83;79,6;83;31/05/2023 17:35;CET;1168;94965,5;83;31/05/2023
CREDIT AGRICOLE;FR0000045072;ACA;Euronext Paris;EUR;10,7;10,778;10,624;10,692;31/05/2023 17:35;CET;24075729;258663448,6;10,692;31/05/2023
CRESCENT;BE0003836534;OPTI;Euronext Brussels;EUR;0,0196;0,0198;0,0194;0,0194;31/05/2023 17:35;CET;317756;6269,86;0,0194;31/05/2023
CROSSWOOD;FR0000050395;CROS;Euronext Paris;EUR;7,3;7,3;7,3;7,3;31/05/2023 11:30;CET;1;7,3;7,3;31/05/2023
CTAC;NL0000345577;CTAC;Euronext Amsterdam;EUR;3,88;3,88;3,88;3,88;31/05/2023 14:18;CET;299;1160,12;3,88;31/05/2023
CTC TREAS SHARES;NL0015000F09;CTCT1;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-;-;-
CTC WARRANTS;NL0015000DD7;CTCW1;Euronext Amsterdam;EUR;0,0005;0,0005;0,0005;0,0005;26/05/2023 16:54;CET;17;0,01;0,0005;31/05/2023
CTP;NL00150006R6;CTPNV;Euronext Amsterdam;EUR;11,86;12,14;11,5;12;31/05/2023 17:35;CET;56417;673692,46;12;31/05/2023
CUMULEX;BE0003463685;CLEX;Euronext Brussels;EUR;2,26;2,26;2,26;2,26;31/03/2023 11:31;CET;400;904;2,26;31/05/2023
D''IETEREN GROUP;BE0974259880;DIE;Euronext Brussels;EUR;161,9;163,8;159,6;161,7;31/05/2023 17:35;CET;616062;99619177,6;161,7;31/05/2023
DANONE;FR0000120644;BN;Euronext Paris;EUR;55,38;56,13;55,02;55,34;31/05/2023 17:36;CET;5719623;316875205,8;55,34;31/05/2023
DASSAULT AVIATION;FR0014004L86;AM;Euronext Paris;EUR;161,4;163,5;158,2;158,2;31/05/2023 17:37;CET;325771;51680371,8;158,2;31/05/2023
DASSAULT SYSTEMES;FR0014003TT8;DSY;Euronext Paris;EUR;40,535;41,78;40,44;41,11;31/05/2023 17:35;CET;7790772;320450198,5;41,11;31/05/2023
DBV TECHNOLOGIES;FR0010417345;DBV;Euronext Paris;EUR;3,37;3,42;3,332;3,364;31/05/2023 17:35;CET;63512;214675,14;3,364;31/05/2023
DECEUNINCK;BE0003789063;DECB;Euronext Brussels;EUR;2,5;2,515;2,44;2,445;31/05/2023 17:35;CET;95685;237065,14;2,445;31/05/2023
DEE TECH SHARES;FR0014003G01;DEE;Euronext Paris;EUR;10,2;10,2;10,2;10,2;31/05/2023 12:53;CET;15;153;10,2;31/05/2023
DEE TECH WARRANTS;FR0014003G19;DEEW;Euronext Paris;EUR;0,3;0,3;0,3;0,3;22/12/2021 12:00;CET;1000;300;0,3;31/05/2023
DEEZER;FR001400AYG6;DEEZR;Euronext Paris;EUR;2,095;2,095;2,09;2,09;31/05/2023 13:18;CET;797;1666,07;2,09;31/05/2023
DEEZER WARRANTS;FR0014004JF6;DEEZW;Euronext Paris;EUR;0,01;0,01;0,01;0,01;12/04/2023 16:33;CET;349999;3499,99;0,01;31/05/2023
DEKUPLE;FR0000062978;DKUPL;Euronext Paris;EUR;28,7;29,1;28,6;29,1;31/05/2023 17:05;CET;328;9475,4;29,1;31/05/2023
DEME GROUP;BE0974413453;DEME;Euronext Brussels;EUR;117,4;119,2;116,6;119,2;31/05/2023 17:35;CET;15726;1866066,6;119,2;31/05/2023
DERICHEBOURG;FR0000053381;DBG;Euronext Paris;EUR;4,842;4,952;4,824;4,894;31/05/2023 17:35;CET;430102;2102545,93;4,894;31/05/2023
DGB GROUP N.V.;NL0009169515;DGB;Euronext Amsterdam;EUR;0,54;0,542;0,528;0,54;31/05/2023 14:22;CET;1262;671,38;0,54;31/05/2023
DIEGEM KENNEDYCERT;BE0003698124;DIEG;Euronext Brussels;EUR;116;116;116;116;31/05/2023 16:30;CET;151;17516;116;31/05/2023
DISRUPTIVE CAP SHA;GG00BMB5XZ39;DCACS;Euronext Amsterdam;GBP;6,7;6,7;6,7;6,7;05/05/2023 09:12;CET;1000;6700;6,7;31/05/2023
DISRUPTIVE CAP WAR;GG00BMB5XY22;DCACW;Euronext Amsterdam;GBP;0,18;0,18;0,18;0,18;06/12/2022 09:38;CET;1000;180;0,18;31/05/2023
DISTRI-LAND CERT;BE0003605160;DISL;Euronext Brussels;EUR;190;190;190;190;26/05/2023 16:30;CET;20;3800;190;31/05/2023
DMS IMAGING;BE0974289218;DMSIM;Euronext Brussels, Paris;EUR;0,021;0,021;0,02;0,02;31/05/2023 15:14;CET;59370;1189,76;0,02;31/05/2023
DOCK.PETR.AMBES AM;FR0000065260;DPAM;Euronext Paris;EUR;530;530;530;530;31/05/2023 11:30;CET;14;7420;530;31/05/2023
DSM FIRMENICH AG;CH1216478797;DSFIR;Euronext Amsterdam;EUR;103,5;104,18;101,7;104,04;31/05/2023 17:35;CET;1302507;135449843,2;104,04;31/05/2023
EASE2PAY NV;NL0000345627;EAS2P;Euronext Amsterdam;EUR;0,936;1,025;0,85;0,91;31/05/2023 17:25;CET;155301;141886,03;0,91;31/05/2023
EBUSCO HOLDING;NL0015000CZ2;EBUS;Euronext Amsterdam;EUR;7,7;8;7,52;7,67;31/05/2023 17:35;CET;227611;1754146,74;7,67;31/05/2023
ECONOCOM GROUP;BE0974313455;ECONB;Euronext Brussels;EUR;2,76;2,78;2,69;2,73;31/05/2023 17:35;CET;2430841;6636270,4;2,73;31/05/2023
EDENRED;FR0010908533;EDEN;Euronext Paris;EUR;59,28;61,06;59,18;60,08;31/05/2023 17:35;CET;2129561;127962410;60,08;31/05/2023
EHC ORD SHARES;NL0015000K10;EHCS;Euronext Amsterdam;EUR;10;10;10;10;29/05/2023 09:00;CET;500;5000;10;31/05/2023
EHC TREAS SHARES;NL0015000K02;EHCT;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-;-;-
EHC WARRANTS;NL0015000K28;EHCW;Euronext Amsterdam;EUR;0,25;0,25;0,25;0,25;17/12/2021 10:55;CET;42;10,5;0,25;31/05/2023
EIFFAGE;FR0000130452;FGR;Euronext Paris;EUR;99,58;100,35;98,66;99,62;31/05/2023 17:35;CET;1039416;103542797,8;99,62;31/05/2023
EKINOPS;FR0011466069;EKI;Euronext Paris;EUR;7,69;8,13;7,62;8,1;31/05/2023 17:35;CET;20711;163346,36;8,1;31/05/2023
EKOPAK;BE0974380124;EKOP;Euronext Brussels;EUR;17,85;17,85;17,25;17,3;31/05/2023 17:35;CET;2000;34888,8;17,3;31/05/2023
ELEC.STRASBOURG;FR0000031023;ELEC;Euronext Paris;EUR;89,8;90;88,8;90;31/05/2023 17:35;CET;188;16826,2;90;31/05/2023
ELECT. MADAGASCAR;FR0000035719;EEM;Euronext Paris;EUR;3,42;3,42;3,42;3,42;31/05/2023 16:30;CET;200;684;3,42;31/05/2023
ELIA GROUP;BE0003822393;ELI;Euronext Brussels;EUR;113,4;114,5;111,5;113,1;31/05/2023 17:35;CET;445270;50359388,2;113,1;31/05/2023
ELIOR GROUP;FR0011950732;ELIOR;Euronext Paris;EUR;2,84;2,864;2,788;2,84;31/05/2023 17:35;CET;986678;2794578,64;2,84;31/05/2023
ELIS;FR0012435121;ELIS;Euronext Paris;EUR;16,38;16,39;16,07;16,18;31/05/2023 17:35;CET;761025;12327880,68;16,18;31/05/2023
ENGIE;FR0010208488;ENGI;Euronext Paris, Brussels;EUR;14;14,142;13,96;14,042;31/05/2023 17:35;CET;10485131;147295638;14,042;31/05/2023
ENTP TREAS SHARES;NL0015000F90;ENTPT;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-;-;-
ENTP WARRANTS;NL0015000FD2;ENTPW;Euronext Amsterdam;EUR;0,25;0,25;0,25;0,25;02/01/2023 09:20;CET;5;1,25;0,25;31/05/2023
ENVIPCO;NL0015000GX8;ENVI;Euronext Amsterdam;EUR;2,66;2,66;2,62;2,66;31/05/2023 15:25;CET;1303;3437,86;2,66;31/05/2023
EPIC Ord Shares;KYG3166N1060;EPIC;Euronext Amsterdam;EUR;10,2;10,2;10,2;10,2;11/04/2023 10:07;CET;2000;20400;10,2;31/05/2023
EPIC WARRANTS;KYG3166N1144;EPICW;Euronext Amsterdam;EUR;0,15;0,15;0,15;0,15;26/05/2022 15:17;CET;30000;4500;0,15;31/05/2023
EQUASENS;FR0012882389;EQS;Euronext Paris;EUR;76,5;77,4;75,5;77,3;31/05/2023 17:36;CET;23540;1818358,4;77,3;31/05/2023
ERAMET;FR0000131757;ERA;Euronext Paris;EUR;83,25;83,25;80,35;81,1;31/05/2023 17:35;CET;107535;8754928,8;81,1;31/05/2023
ERYTECH PHARMA;FR0011471135;ERYP;Euronext Paris;EUR;0,91;0,92;0,85;0,876;31/05/2023 17:35;CET;169067;150280,5;0,876;31/05/2023
ESI GROUP;FR0004110310;ESI;Euronext Paris;EUR;111;111,5;110;111,5;31/05/2023 17:35;CET;862;95395,5;111,5;31/05/2023
ESSILORLUXOTTICA;FR0000121667;EL;Euronext Paris;EUR;174,18;174,18;167,72;168,44;31/05/2023 17:35;CET;3690327;622603025,8;168,44;31/05/2023
ESSO;FR0000120669;ES;Euronext Paris;EUR;42,5;43,5;42,5;43,5;31/05/2023 17:35;CET;5323;228938,5;43,5;31/05/2023
EURASIA FONC INV;FR0000061475;EFI;Euronext Paris;EUR;0,298;0,298;0,298;0,298;25/05/2023 11:30;CET;30;8,94;0,298;31/05/2023
EURAZEO;FR0000121121;RF;Euronext Paris;EUR;62,7;64,1;62,5;63,9;31/05/2023 17:35;CET;365401;23320824,45;63,9;31/05/2023
EUREKING SHARES;FR0014009ON9;KINGS;Euronext Paris;EUR;10,3;10,3;10,3;10,3;18/05/2023 09:36;CET;100;1030;10,3;31/05/2023
EUREKING WARRANTS;FR0014009OX8;KINGW;Euronext Paris;EUR;0,1;0,1;0,1;0,1;26/05/2023 15:13;CET;10000;1000;0,1;31/05/2023
EURO RESSOURCES;FR0000054678;EUR;Euronext Paris;EUR;3,1;3,16;3,04;3,16;31/05/2023 16:00;CET;6385;19971,91;3,16;31/05/2023
EUROAPI;FR0014008VX5;EAPI;Euronext Paris;EUR;9,8;9,884;9,74;9,798;31/05/2023 17:35;CET;255501;2509639,06;9,798;31/05/2023
EUROCASTLE INVEST.;GB00B94QM994;ECT;Euronext Amsterdam;EUR;6;6;6;6;24/05/2023 17:08;CET;3;18;6;31/05/2023
EUROCOMMERCIAL;NL0015000K93;ECMPA;Euronext Amsterdam, Brussels;EUR;21,12;21,44;21,08;21,34;31/05/2023 17:35;CET;91653;1955701,06;21,34;31/05/2023
EUROFINS SCIE NV23;FR001400EBA9;ERFNV;Euronext Paris;EUR;61,4;61,4;59,9;59,9;31/05/2023 16:30;CET;2058;124561,2;59,9;31/05/2023
EUROFINS SCIENT.;FR0014000MR3;ERF;Euronext Paris;EUR;60,98;64,06;60,9;61,64;31/05/2023 17:35;CET;1103527;68260987,52;61,64;31/05/2023
EURONAV;BE0003816338;EURN;Euronext Brussels;EUR;14,85;15,01;13,93;14,82;31/05/2023 17:36;CET;2751949;40262386,28;14,82;31/05/2023
EURONEXT;NL0006294274;ENX;Euronext Paris, Amsterdam, Brussels;EUR;62,6;62,95;62,1;62,15;31/05/2023 17:36;CET;341690;21355614,3;62,15;31/05/2023
EUTELSAT COMMUNIC.;FR0010221234;ETL;Euronext Paris;EUR;6,05;6,065;5,935;5,945;31/05/2023 17:35;CET;1788648;10660323,5;5,945;31/05/2023
EVERGREEN;FR0000035784;EGR;Euronext Paris;EUR;2,49;2,5;2,41;2,44;31/05/2023 16:49;CET;5250;12894,5;2,44;31/05/2023
EVS BROADC.EQUIPM.;BE0003820371;EVS;Euronext Brussels;EUR;21,9;22,1;21,8;21,8;31/05/2023 17:35;CET;4642;101673,7;21,8;31/05/2023
EXAIL TECHNOLOGIES;FR0000062671;EXA;Euronext Paris;EUR;17,88;17,88;17,64;17,66;31/05/2023 17:35;CET;5162;91436,84;17,66;31/05/2023
EXCLUSIVE NETWORKS;FR0014005DA7;EXN;Euronext Paris;EUR;19,32;19,6;19,32;19,46;31/05/2023 17:35;CET;33522;653409,32;19,46;31/05/2023
EXEL INDUSTRIES;FR0004527638;EXE;Euronext Paris;EUR;51,4;51,6;48,2;51;31/05/2023 17:35;CET;6604;339075,3;51;31/05/2023
EXMAR;BE0003808251;EXM;Euronext Brussels;EUR;10,76;10,8;10,62;10,7;31/05/2023 17:35;CET;257856;2763604,38;10,7;31/05/2023
EXOR NV;NL0012059018;EXO;Euronext Amsterdam;EUR;78,18;78,58;77,08;77,66;31/05/2023 17:35;CET;667856;51888188,14;77,66;31/05/2023
EXPLOSIFS PROD.CHI;FR0014003AQ4;EXPL;Euronext Paris;EUR;92;92,5;92;92,5;31/05/2023 17:19;CET;21;1937,5;92,5;31/05/2023
FAGRON;BE0003874915;FAGR;Euronext Brussels, Amsterdam;EUR;17;17,06;16,81;16,81;31/05/2023 17:35;CET;72286;1217611,37;16,81;31/05/2023
FASTNED;NL0013654809;FAST;Euronext Amsterdam;EUR;29;29,3;28,05;28,45;31/05/2023 17:35;CET;97916;2793786,15;28,45;31/05/2023
